CódigoCompra;Data;Fornecedor;Produto;Quantidade;ValorUnitário;ValorFinal
65014;01/12/2023;Fabrica Hashtag Brasil;Óleo Motor - Linha A;5;259;1295
65014;01/12/2023;Fabrica Hashtag Brasil;Kit Embreagem - Linha A;1;380;380
65016;01/12/2023;Fabrica Doidona Brasil;Bateria - Linha A;2;479;958
65016;01/12/2023;Fabrica Doidona Brasil;Filtro de Óleo - Linha A;1;18.9;18.9
65017;01/12/2023;Original Fábrica Brasil;Farol Principal - Linha A;3;159.9;479.7
65018;01/12/2023;Revenda Brasil;Radiador - Linha A;1;256.9;256.9
65018;01/12/2023;Revenda Brasil;Filtro Combustível - Linha A;1;183.34;183.34
65018;01/12/2023;Revenda Brasil;Kit Embreagem - Linha A;1;380;380
65019;01/12/2023;Fabrica Hashtag Europa;Mola de pressão - Linha A;2;39.62;79.24
65019;01/12/2023;Fabrica Hashtag Europa;Rolamento das Rodas - Linha A;1;187.9;187.9
65020;01/12/2023;Fabrica Hashtag Brasil;Correia - Linha A;4;119.92;479.68
65020;01/12/2023;Fabrica Hashtag Brasil;Bomba d'agua - Linha A;5;553.9;2769.5
65020;01/12/2023;Fabrica Hashtag Brasil;Pneus - Linha A;2;359.91;719.82
65024;01/12/2023;Fabrica Doidona Europa;Condensador - Linha A;2;689.9;1379.8
65025;01/12/2023;Original Fábrica Europa;Barra Estabilizadora - Linha A;5;395.8;1979
65025;01/12/2023;Original Fábrica Europa;Logo Hashtag - Linha A;1;10;10
65025;01/12/2023;Original Fábrica Europa;Terminal de Direção - Linha A;1;136;136
65027;01/12/2023;Revenda Europa;Foto do Lira - Linha A;1;870;870
65028;01/12/2023;Fabrica Doidona Brasil;Volante - Linha A;5;530;2650
65028;01/12/2023;Fabrica Doidona Brasil;Caixa de Marcha - Linha A;1;4990;4990
65030;01/12/2023;Fabrica Hashtag EUA;Óleo Motor - Linha B;1;297.85;297.85
65030;01/12/2023;Fabrica Hashtag EUA;Kit Embreagem - Linha B;1;437;437
65031;01/12/2023;Fabrica Doidona EUA;Bateria - Linha B;4;550.85;2203.4
65032;01/12/2023;Fabrica Hashtag EUA;Filtro de Óleo - Linha B;2;21.74;43.47
65032;01/12/2023;Fabrica Hashtag EUA;Farol Principal - Linha B;3;183.89;551.66
65033;01/12/2023;Fabrica Doidona Brasil;Radiador - Linha B;1;295.44;295.44
65034;01/12/2023;Original Fábrica EUA;Filtro Combustível - Linha B;4;210.84;843.36
65034;01/12/2023;Original Fábrica EUA;Mola de pressão - Linha B;5;45.56;227.82
65036;01/12/2023;Revenda EUA;Rolamento das Rodas - Linha B;1;216.09;216.09
65037;01/12/2023;Fabrica Hashtag Asia;Correia - Linha B;1;137.91;137.91
65037;01/12/2023;Fabrica Hashtag Asia;Bomba d'agua - Linha B;1;636.99;636.99
65037;01/12/2023;Fabrica Hashtag Asia;Pneus - Linha B;1;413.9;413.9
65037;01/12/2023;Fabrica Hashtag Asia;Condensador - Linha B;1;793.39;793.39
65037;01/12/2023;Fabrica Hashtag Asia;Barra Estabilizadora - Linha B;5;455.17;2275.85
65038;01/12/2023;Fabrica Hashtag EUA;Logo Hashtag - Linha B;5;11.5;57.5
65039;01/12/2023;Revenda Brasil;Terminal de Direção - Linha B;2;156.4;312.8
65040;01/12/2023;Fabrica Hashtag Brasil;Filtro Combustível - Linha A;1;183.34;183.34
65040;01/12/2023;Fabrica Hashtag Brasil;Foto do Lira - Linha B;4;1000.5;4002
65043;01/12/2023;Fabrica Doidona Asia;Filtro de Óleo - Linha A;1;18.9;18.9
65043;01/12/2023;Fabrica Doidona Asia;Volante - Linha B;1;609.5;609.5
65043;01/12/2023;Fabrica Doidona Asia;Rolamento das Rodas - Linha B;5;216.09;1080.43
65043;01/12/2023;Fabrica Doidona Asia;Caixa de Marcha - Linha B;3;5738.5;17215.5
65044;01/12/2023;Original Fábrica Brasil;Óleo Motor - Linha C;1;342.53;342.53
65044;01/12/2023;Original Fábrica Brasil;Kit Embreagem - Linha C;1;502.55;502.55
65045;01/12/2023;Fabrica Doidona EUA;Bateria - Linha C;2;633.48;1266.96
65046;01/12/2023;Revenda Brasil;Filtro de Óleo - Linha C;2;25;49.99
65047;01/12/2023;Original Fábrica Asia;Farol Principal - Linha C;1;211.47;211.47
65047;01/12/2023;Original Fábrica Asia;Radiador - Linha C;5;339.75;1698.75
65047;01/12/2023;Original Fábrica Asia;Filtro Combustível - Linha C;3;242.47;727.4
65048;01/12/2023;Revenda Asia;Mola de pressão - Linha C;3;52.4;157.19
65049;01/12/2023;Fabrica Hashtag Argentina;Rolamento das Rodas - Linha C;5;248.5;1242.49
65049;01/12/2023;Fabrica Hashtag Argentina;Bomba d'agua - Linha B;1;636.99;636.99
65050;01/12/2023;Revenda EUA;Kit Embreagem - Linha B;2;437;874
65051;01/12/2023;Fabrica Doidona Argentina;Correia - Linha C;1;158.59;158.59
65053;01/12/2023;Original Fábrica Argentina;Bomba d'agua - Linha C;4;732.53;2930.13
65054;01/12/2023;Revenda Argentina;Logo Hashtag - Linha B;5;11.5;57.5
65055;01/12/2023;Fabrica Hashtag Europa;Condensador - Linha A;2;689.9;1379.8
65055;01/12/2023;Fabrica Hashtag Europa;Filtro de Óleo - Linha C;2;25;49.99
65056;01/12/2023;Fabrica Doidona Brasil;Rolamento das Rodas - Linha B;2;216.09;432.17
65056;01/12/2023;Fabrica Doidona Brasil;Pneus - Linha C;1;475.98;475.98
65056;01/12/2023;Fabrica Doidona Brasil;Condensador - Linha C;5;912.39;4561.96
65057;01/12/2023;Original Fábrica EUA;Correia - Linha A;2;119.92;239.84
65058;01/12/2023;Original Fábrica Europa;Barra Estabilizadora - Linha C;2;523.45;1046.89
65058;01/12/2023;Original Fábrica Europa;Logo Hashtag - Linha C;2;13.23;26.45
65058;01/12/2023;Original Fábrica Europa;Filtro de Óleo - Linha C;1;25;25
65060;01/12/2023;Original Fábrica Europa;Bomba d'agua - Linha B;4;636.99;2547.94
65060;01/12/2023;Original Fábrica Europa;Terminal de Direção - Linha C;1;179.86;179.86
65062;01/12/2023;Revenda Brasil;Filtro de Óleo - Linha B;2;21.74;43.47
65062;01/12/2023;Revenda Brasil;Filtro Combustível - Linha B;3;210.84;632.52
65062;01/12/2023;Revenda Brasil;Foto do Lira - Linha C;1;1150.58;1150.58
65062;01/12/2023;Revenda Brasil;Caixa de Marcha - Linha A;2;4990;9980
65062;01/12/2023;Revenda Brasil;Volante - Linha C;1;700.93;700.93
65063;01/12/2023;Fabrica Hashtag Asia;Barra Estabilizadora - Linha C;1;523.45;523.45
65063;01/12/2023;Fabrica Hashtag Asia;Caixa de Marcha - Linha C;2;6599.28;13198.55
65064;01/12/2023;Fabrica Hashtag Mexico;Kit Embreagem - Linha C;2;502.55;1005.1
65066;01/12/2023;Original Fábrica Europa;Óleo Motor - Linha Premium;1;582.3;582.3
65066;01/12/2023;Original Fábrica Europa;Kit Embreagem - Linha Premium;1;854.34;854.34
65066;01/12/2023;Original Fábrica Europa;Bomba d'agua - Linha B;3;636.99;1910.96
65068;01/12/2023;Fabrica Hashtag Brasil;Bateria - Linha Premium;1;1076.91;1076.91
65070;01/12/2023;Fabrica Doidona Mexico;Filtro de Óleo - Linha Premium;3;42.49;127.48
65070;01/12/2023;Fabrica Doidona Mexico;Farol Principal - Linha Premium;1;359.5;359.5
65070;01/12/2023;Fabrica Doidona Mexico;Radiador - Linha Premium;2;577.58;1155.15
65071;01/12/2023;Fabrica Hashtag Mexico;Pneus - Linha B;3;413.9;1241.69
65071;01/12/2023;Fabrica Hashtag Mexico;Radiador - Linha Premium;2;577.58;1155.15
65071;01/12/2023;Fabrica Hashtag Mexico;Caixa de Marcha - Linha B;2;5738.5;11477
65071;01/12/2023;Fabrica Hashtag Mexico;Filtro Combustível - Linha Premium;5;412.19;2060.97
65071;01/12/2023;Fabrica Hashtag Mexico;Mola de pressão - Linha Premium;4;89.08;356.3
65072;01/12/2023;Fabrica Doidona Mexico;Rolamento das Rodas - Linha Premium;5;422.45;2112.23
65074;01/12/2023;Fabrica Doidona EUA;Correia - Linha Premium;1;269.61;269.61
65074;01/12/2023;Fabrica Doidona EUA;Mola de pressão - Linha C;1;52.4;52.4
65076;01/12/2023;Original Fábrica Brasil;Bomba d'agua - Linha Premium;1;1245.31;1245.31
65076;01/12/2023;Original Fábrica Brasil;Pneus - Linha Premium;1;809.17;809.17
65076;01/12/2023;Original Fábrica Brasil;Condensador - Linha Premium;1;1551.07;1551.07
65077;01/12/2023;Revenda Argentina;Barra Estabilizadora - Linha Premium;1;889.86;889.86
65080;01/12/2023;Original Fábrica Mexico;Logo Hashtag - Linha Premium;1;22.48;22.48
65080;01/12/2023;Original Fábrica Mexico;Correia - Linha B;1;137.91;137.91
65081;01/12/2023;Fabrica Hashtag Argentina;Óleo Motor - Linha B;3;297.85;893.55
65081;01/12/2023;Fabrica Hashtag Argentina;Terminal de Direção - Linha Premium;3;305.76;917.29
65081;01/12/2023;Fabrica Hashtag Argentina;Radiador - Linha C;1;339.75;339.75
65081;01/12/2023;Fabrica Hashtag Argentina;Terminal de Direção - Linha Premium;1;305.76;305.76
65082;01/12/2023;Fabrica Doidona Argentina;Filtro Combustível - Linha C;4;242.47;969.87
65083;01/12/2023;Fabrica Hashtag Mexico;Foto do Lira - Linha Premium;2;1955.98;3911.96
65087;01/12/2023;Fabrica Hashtag Brasil;Volante - Linha Premium;1;1191.57;1191.57
65087;01/12/2023;Fabrica Hashtag Brasil;Caixa de Marcha - Linha Premium;1;11218.77;11218.77
65087;01/12/2023;Fabrica Hashtag Brasil;Bomba d'agua - Linha A;3;553.9;1661.7
65087;01/12/2023;Fabrica Hashtag Brasil;Bomba d'agua - Linha Premium;3;1245.31;3735.92
65091;01/12/2023;Fabrica Doidona Argentina;Logo Hashtag - Linha A;3;10;30
65093;01/12/2023;Revenda EUA;Radiador - Linha C;3;339.75;1019.25
65093;01/12/2023;Revenda EUA;Farol Principal - Linha C;1;211.47;211.47
65094;01/12/2023;Original Fábrica Brasil;Filtro de Óleo - Linha B;2;21.74;43.47
65094;01/12/2023;Original Fábrica Brasil;Bomba d'agua - Linha A;5;553.9;2769.5
65096;01/12/2023;Fabrica Doidona Mexico;Foto do Lira - Linha C;1;1150.58;1150.58
65097;01/12/2023;Fabrica Hashtag Mexico;Foto do Lira - Linha B;3;1000.5;3001.5
65098;01/12/2023;Fabrica Hashtag EUA;Rolamento das Rodas - Linha C;3;248.5;745.49
65099;01/12/2023;Original Fábrica Brasil;Rolamento das Rodas - Linha B;3;216.09;648.26
65100;01/12/2023;Original Fábrica Argentina;Bomba d'agua - Linha C;1;732.53;732.53
65100;01/12/2023;Original Fábrica Argentina;Logo Hashtag - Linha B;2;11.5;23
65102;01/12/2023;Fabrica Doidona Europa;Kit Embreagem - Linha B;2;437;874
65106;01/12/2023;Revenda EUA;Radiador - Linha B;4;295.44;1181.74
65106;01/12/2023;Revenda EUA;Filtro de Óleo - Linha B;5;21.74;108.68
65106;01/12/2023;Revenda EUA;Farol Principal - Linha Premium;1;359.5;359.5
65108;01/12/2023;Revenda Mexico;Barra Estabilizadora - Linha C;2;523.45;1046.89
65109;01/12/2023;Fabrica Doidona Europa;Condensador - Linha A;5;689.9;3449.5
65111;01/12/2023;Original Fábrica Asia;Rolamento das Rodas - Linha A;1;187.9;187.9
65113;01/12/2023;Fabrica Doidona Argentina;Mola de pressão - Linha C;1;52.4;52.4
65114;01/12/2023;Fabrica Doidona Argentina;Óleo Motor - Linha A;2;259;518
65115;01/12/2023;Original Fábrica Brasil;Bateria - Linha B;2;550.85;1101.7
65116;01/12/2023;Fabrica Doidona Argentina;Pneus - Linha C;4;475.98;1903.92
65118;01/12/2023;Original Fábrica Mexico;Volante - Linha A;5;530;2650
65118;01/12/2023;Original Fábrica Mexico;Condensador - Linha B;1;793.39;793.39
65119;01/12/2023;Fabrica Hashtag Brasil;Condensador - Linha C;2;912.39;1824.79
65120;01/12/2023;Revenda Mexico;Volante - Linha A;2;530;1060
65121;01/12/2023;Original Fábrica Europa;Volante - Linha C;4;700.93;2803.7
65121;01/12/2023;Original Fábrica Europa;Filtro Combustível - Linha C;1;242.47;242.47
65123;01/12/2023;Fabrica Doidona Europa;Bomba d'agua - Linha A;2;553.9;1107.8
65124;01/12/2023;Revenda Mexico;Bomba d'agua - Linha C;5;732.53;3662.66
65125;01/12/2023;Fabrica Doidona Mexico;Bomba d'agua - Linha B;3;636.99;1910.96
65125;01/12/2023;Fabrica Doidona Mexico;Kit Embreagem - Linha A;5;380;1900
65125;01/12/2023;Fabrica Doidona Mexico;Volante - Linha C;4;700.93;2803.7
65126;01/12/2023;Fabrica Hashtag Europa;Logo Hashtag - Linha C;1;13.23;13.23
65126;01/12/2023;Fabrica Hashtag Europa;Rolamento das Rodas - Linha B;1;216.09;216.09
