ClienteID;Origem;Idade;Salário Anual (R$);Nota (1-100);Profissão;Experiência Trabalho;Tamanho Família;
1;Normal;19;15000;39;Saúde;1;4;
2;Normal;21;35000;81;Engenheiro;3;3;
3;Promoção;20;86000;2;Engenheiro;1;1;
4;Promoção;23;59000;73;Advogado;0;2;.
5;Promoção;31;38000;48;Entretenimento;2;6;
6;Promoção;22;58000;84;Artista;0;2;
7;Promoção;35;31000;2;Saúde;1;3;
8;Promoção;23;84000;90;Saúde;1;3;
9;Normal;64;97000;3;Engenheiro;0;3;
10;Promoção;30;98000;80;Artista;1;4;
11;Normal;67;7000;14;Engenheiro;1;3;
12;Promoção;35;93000;95;Saúde;4;4;
13;Promoção;58;80000;11;Executivo;0;5;
14;Promoção;24;91000;73;Advogado;1;1;
15;Normal;37;19000;13;Doutor;0;1;
16;Normal;22;51000;79;Saúde;1;2;
17;Promoção;35;29000;31;Construção;9;5;
18;Normal;20;89000;66;Saúde;1;6;
19;Normal;52;20000;41;Entretenimento;1;4;
20;Promoção;35;62000;100;Artista;0;1;
21;Normal;35;96000;42;Construção;12;1;
22;Normal;25;4000;73;Saúde;3;4;
23;Promoção;46;42000;67;Artista;13;2;
24;Normal;31;71000;85;Artista;5;2;
25;Promoção;54;67000;10;Executivo;1;3;
26;Normal;29;52000;94;Artista;1;3;
27;Promoção;45;68000;28;Saúde;9;8;
28;Normal;35;78000;73;Artista;1;3;
29;Promoção;40;18000;39;Artista;0;1;
30;Promoção;23;20000;95;Artista;5;4;
31;Normal;60;39000;16;Artista;0;3;
32;Promoção;21;34000;69;Doutor;1;2;
33;Normal;53;59000;4;Saúde;1;3;
34;Normal;18;62000;92;Construção;9;7;
35;Promoção;49;91000;10;Advogado;1;2;
36;Promoção;21;95000;77;Saúde;3;4;
37;Promoção;42;14000;13;Doutor;5;1;
38;Promoção;30;62000;69;Saúde;1;5;
39;Promoção;36;9000;34;Artista;8;2;
40;Promoção;20;69000;83;Artista;8;2;
41;Promoção;65;25000;43;Artista;4;1;
42;Normal;24;85000;92;Saúde;0;2;
43;Normal;48;22000;55;Artista;14;3;
44;Promoção;31;33000;69;Artista;1;2;
45;Promoção;49;72000;24;Engenheiro;8;1;
46;Promoção;24;3000;61;Advogado;4;2;
47;Promoção;50;52000;63;Artista;0;4;
48;Promoção;27;71000;50;Saúde;12;1;
49;Promoção;29;78000;38;Saúde;0;4;
50;Promoção;31;25000;38;Engenheiro;1;1;
51;Promoção;49;88000;60;Artista;1;2;
52;Normal;33;97000;72;Artista;1;2;
53;Promoção;31;74000;62;Artista;1;1;
54;Normal;59;68000;72;Entretenimento;0;2;
55;Promoção;50;18000;46;Marketing;1;1;
56;Normal;47;95000;60;Artista;14;2;
57;Promoção;51;71000;46;Saúde;9;4;
58;Normal;69;8000;46;Doutor;8;2;
59;Promoção;27;57000;59;Artista;1;3;
60;Normal;53;89000;46;Advogado;1;6;
61;Normal;70;84000;68;Artista;0;2;
