Preco,TipoBarco,TipoVenda,Ano,Comprimento,Largura,Material
3490,1,1,2020,4,1.5,1
3399,2,1,2019,3.55,1.46,2
3600,3,2,1999,6.2,2.38,2
3500,2,2,1987,4.35,1.75,3
3500,4,2,2004,4.7,2,3
4600,5,1,2020,4.4,1.65,2
4500,2,2,1997,3.72,1.33,2
4000,6,2,1981,8,2.84,4
4000,7,2,2011,6.37,2.31,3
3999,2,1,2019,3.55,1.46,2
3930,4,1,2020,4.31,1.64,2
3900,4,2,1979,5.6,2.1,3
4200,2,2,1998,5.7,1.55,3
4030,2,1,2018,3.55,1.46,2
4000,2,2,1994,5.6,1.58,3
3975,2,1,2020,4.01,1.5,1
3950,4,2,1996,4.84,1.58,3
3900,4,2,1972,5.05,1.9,3
3800,2,2,1996,4.41,1.71,2
3800,7,2,1980,6.2,2.45,3
3800,2,2,1974,5.4,1.67,5
3500,1,2,1983,4.4,1.5,3
5500,4,1,2018,5.2,2.2,3
5500,1,2,1997,4.4,1.78,4
5500,4,2,1961,5.5,2.06,3
5900,4,2,1980,5.85,2.23,3
5399,2,1,2018,4.01,1.64,2
5700,4,2,2000,4.15,1.67,3
5250,4,2,1993,4.5,1.9,3
5200,2,1,2020,4.2,1.85,2
5500,4,2,1968,4.05,1.58,3
5500,5,1,2020,4,1.65,2
7200,4,2,1987,3.95,1.55,5
6590,5,2,1972,5.5,1.9,3
6500,7,2,1990,6.28,2.27,3
6500,8,1,2018,5.7,2.2,3
6500,9,2,2010,5,2.15,3
6500,7,2,1968,8,2.1,3
6500,4,2,1991,4.5,2.1,3
6500,10,2,1975,6.67,2.04,6
6490,7,2,1994,4.75,1.86,3
7000,4,2,2018,3.2,1.5,3
7000,7,2,1980,7.26,2.9,3
7000,11,2,2000,4.15,1.65,3
8300,4,2,1986,4.28,1.65,2
7000,7,2,1941,8.23,2.65,6
7640,8,2,1985,4.5,2.1,3
8155,11,1,2020,4.45,1.85,1
7500,1,2,1996,4.5,1.7,3
7500,7,2,1971,8.5,2.2,7
7500,4,2,1971,5.7,2.2,3
7500,4,2,1994,5.5,2.45,4
7500,7,2,1981,6.4,2.54,3
7500,1,2,2005,5.23,2.15,4
7500,4,2,1995,5.8,2.28,3
9400,4,2,1976,5.85,2.3,3
9265,4,3,2020,4.8,1.9,3
9200,4,2,1990,5.18,2.18,3
8500,5,2,1975,4,1.62,3
8500,1,2,2018,5.3,2.2,3
8500,4,2,1994,5.74,2.31,4
8500,6,2,2006,5.8,2.5,4
8500,4,2,2016,3.1,1.4,3
